ID,Category,Recipe Name,Visual Ingredients,Output Filename,AI Image Prompt
m38,main,Chicken & Cauliflower Rice Bowl,"grilled chicken, Cauliflower Rice (Frozen Or Fresh), Baby Spinach, Diced Tomatoes, Yellow Onion, roasted garlic",recipes/m38.jpg,"Professional food photography of Chicken & Cauliflower Rice Bowl. The dish contains only these ingredients: grilled chicken, Cauliflower Rice (Frozen Or Fresh), Baby Spinach, Diced Tomatoes, Yellow Onion, roasted garlic. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m45,main,Chicken & Red Lentil Soup,"grilled chicken, Red Lentils, Carrots, Celery Stalks, Diced Tomatoes, Yellow Onion, roasted garlic, Baby Spinach",recipes/m45.jpg,"Professional food photography of Chicken & Red Lentil Soup. The dish contains only these ingredients: grilled chicken, Red Lentils, Carrots, Celery Stalks, Diced Tomatoes, Yellow Onion. 45-degree close-up angle on a clean light wood surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m14,main,Chicken Alfredo Red Sauce,"grilled chicken, Pasta (Farfalle Or Any), cottage cheese, Président Light Mozzarella, Parmesan, roasted garlic, Baby Spinach, Broccoli Florets, Mushrooms",recipes/m14.jpg,"Professional food photography of Chicken Alfredo Red Sauce. The dish contains only these ingredients: grilled chicken, Pasta (Farfalle Or Any), cottage cheese, Président Light Mozzarella, Parmesan, roasted garlic. 45-degree close-up angle in a white ceramic pasta bowl, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m12,main,Chicken Bacon Mac,"grilled chicken, Beef Bacon, Pasta (Macaroni/Shells), cottage cheese, Président Light Mozzarella, Fat-Free Cream Cheese, Parmesan, Baladna Skimmed Milk, Raw Honey, Buffalo Sauce, Onion",recipes/m12.jpg,"Professional food photography of Chicken Bacon Mac. The dish contains only these ingredients: grilled chicken, Beef Bacon, Pasta (Macaroni/Shells), cottage cheese, Président Light Mozzarella, Fat-Free Cream Cheese. 45-degree close-up angle in a white ceramic pasta bowl, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
v3,main,Chickpea & Roasted Veggie Couscous,"Couscous, Red & Yellow Capsicum, Zucchini, Red Onion, harissa, Cucumber (Diced, For Serving), Fresh Parsley, lemon wedge, cottage cheese, greek yogurt",recipes/v3.jpg,"Professional food photography of Chickpea & Roasted Veggie Couscous. The dish contains only these ingredients: Couscous, Red & Yellow Capsicum, Zucchini, Red Onion, harissa, Cucumber (Diced, For Serving). 45-degree close-up angle on a clean light wood surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m07,main,Chipotle Chicken Bowl,"grilled chicken, brown rice, cottage cheese, Président Light Mozzarella, Parmesan (Optional Topping), Light Sour Cream, Canned Sweet Corn, Mild Pico De Gallo, roasted garlic, lime wedge, Black Beans (Canned, Drained)",recipes/m07.jpg,"Professional food photography of Chipotle Chicken Bowl. The dish contains only these ingredients: grilled chicken, brown rice, cottage cheese, Président Light Mozzarella, Parmesan (Optional Topping), Light Sour Cream. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m31,main,"Classic Chicken, Rice & Broccoli","grilled chicken, brown rice, Broccoli Florets, roasted garlic, lemon wedge, Cherry Tomatoes, Fresh Parsley",recipes/m31.jpg,"Professional food photography of Classic Chicken, Rice & Broccoli. The dish contains only these ingredients: grilled chicken, brown rice, Broccoli Florets, roasted garlic, lemon wedge, Cherry Tomatoes. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m26,main,Creamy Steak Pasta,"Flank Steak (Raw, Trimmed), Penne Pasta, Large Sweet Onions, Reduced-Fat Cream Cheese, Fat-Free Evaporated Milk, cottage cheese, Parmigiano Reggiano, Gruyère Cheese, Baby Spinach, Mushrooms, Cherry Tomatoes",recipes/m26.jpg,"Professional food photography of Creamy Steak Pasta. The dish contains only these ingredients: Flank Steak (Raw, Trimmed), Penne Pasta, Large Sweet Onions, Reduced-Fat Cream Cheese, Fat-Free Evaporated Milk, cottage cheese. 45-degree close-up angle in a white ceramic pasta bowl, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m21,main,Crispy Chicken Nuggets,"chicken pieces, Large Eggs, Corn Flakes (Crushed, Sugar-Free)",recipes/m21.jpg,"Professional food photography of Crispy Chicken Nuggets. The dish contains only these ingredients: chicken pieces, Large Eggs, Corn Flakes (Crushed, Sugar-Free). 45-degree close-up hero shot on a dark slate board, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m43,main,Egg White Frittata & Roasted Potatoes,"Large Whole Eggs, Baby Potatoes, Baby Spinach, Yellow Onion, roasted garlic, cottage cheese",recipes/m43.jpg,"Professional food photography of Egg White Frittata & Roasted Potatoes. The dish contains only these ingredients: Large Whole Eggs, Baby Potatoes, Baby Spinach, Yellow Onion, roasted garlic, cottage cheese. Slight overhead angle in a rustic ceramic baking dish on a linen cloth, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m05,main,French Onion Pasta,"grilled chicken, Pasta (Penne Or Short), cottage cheese, Président Light Mozzarella, Baladna Skimmed Milk, Butter, Yellow Onions (Large), roasted garlic, Mushrooms, Baby Spinach, Fresh Thyme",recipes/m05.jpg,"Professional food photography of French Onion Pasta. The dish contains only these ingredients: grilled chicken, Pasta (Penne Or Short), cottage cheese, Président Light Mozzarella, Baladna Skimmed Milk, Butter. 45-degree close-up angle in a white ceramic pasta bowl, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m10,main,Garlic Parmesan Chicken Pasta,"grilled chicken, Pasta (Any Shape), Broccoli, Sun-Dried Tomatoes, Light Cream Cheese (Philadelphia Light), cottage cheese, Président Light Mozzarella, Baladna Skimmed Milk, roasted garlic",recipes/m10.jpg,"Professional food photography of Garlic Parmesan Chicken Pasta. The dish contains only these ingredients: grilled chicken, Pasta (Any Shape), Broccoli, Sun-Dried Tomatoes, Light Cream Cheese (Philadelphia Light), cottage cheese. 45-degree close-up angle in a white ceramic pasta bowl, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m35,main,Garlic Shrimp Stir-Fry & Brown Rice,"prawns, brown rice, Snap Peas, Zucchini, Fresh Ginger, roasted garlic",recipes/m35.jpg,"Professional food photography of Garlic Shrimp Stir-Fry & Brown Rice. The dish contains only these ingredients: prawns, brown rice, Snap Peas, Zucchini, Fresh Ginger, roasted garlic. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m46,main,Greek Chicken & Orzo Bowl,"grilled chicken, Orzo Pasta, Cucumbers, Cherry Tomatoes, Kalamata Olives, Reduced-Fat Feta Cheese, lemon wedge, roasted garlic",recipes/m46.jpg,"Professional food photography of Greek Chicken & Orzo Bowl. The dish contains only these ingredients: grilled chicken, Orzo Pasta, Cucumbers, Cherry Tomatoes, Kalamata Olives, Reduced-Fat Feta Cheese. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
v4,main,Greek Yogurt Egg & Veggie Protein Bowl,"Large Eggs, cottage cheese, Quinoa, Broccoli Florets, Red Capsicum, Kale Or Baby Spinach, roasted garlic, Parmesan Or Feta",recipes/v4.jpg,"Professional food photography of Greek Yogurt Egg & Veggie Protein Bowl. The dish contains only these ingredients: Large Eggs, cottage cheese, Quinoa, Broccoli Florets, Red Capsicum, Kale Or Baby Spinach. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m11,main,Green Pepper & Onion Pasta,"grilled chicken, Pasta (Spaghetti Or Any), cottage cheese, Parmesan (Topping), Butter, Onion, roasted garlic",recipes/m11.jpg,"Professional food photography of Green Pepper & Onion Pasta. The dish contains only these ingredients: grilled chicken, Pasta (Spaghetti Or Any), cottage cheese, Parmesan (Topping), Butter, Onion. 45-degree close-up angle in a white ceramic pasta bowl, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
hol9,main,Grilled Sirloin & Sweet Potato Mash Bowl,"Sirloin Steak (Lean, Raw, Trimmed), Sweet Potato, Broccoli Florets, greek yogurt, roasted garlic, Light Butter",recipes/hol9.jpg,"Professional food photography of Grilled Sirloin & Sweet Potato Mash Bowl. The dish contains only these ingredients: Sirloin Steak (Lean, Raw, Trimmed), Sweet Potato, Broccoli Florets, greek yogurt, roasted garlic, Light Butter. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m39,main,Ground Turkey Taco Bowl,"93/7 Turkey Mince, brown rice, Black Beans (400G Cans, Drained), Diced Tomatoes, Red Onion, roasted garlic, lime wedge",recipes/m39.jpg,"Professional food photography of Ground Turkey Taco Bowl. The dish contains only these ingredients: 93/7 Turkey Mince, brown rice, Black Beans (400G Cans, Drained), Diced Tomatoes, Red Onion, roasted garlic. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
hol3,main,Herb-Crusted Lamb & Quinoa with Feta,"Lamb Leg Boneless, Quinoa, Asparagus Spears, greek yogurt, Feta Cheese (Light), lemon wedge, Fresh Mint Leaves, roasted garlic",recipes/hol3.jpg,"Professional food photography of Herb-Crusted Lamb & Quinoa with Feta. The dish contains only these ingredients: Lamb Leg Boneless, Quinoa, Asparagus Spears, greek yogurt, Feta Cheese (Light), lemon wedge. 45-degree close-up angle on a clean light wood surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m51,main,Hibachi Steak Bowl,"Top Sirloin Steak (Raw, Trimmed), Large Eggs, brown rice, Frozen Peas, Frozen Carrots, Yellow Onion, Light Mayonnaise, Zucchini, Mushrooms",recipes/m51.jpg,"Professional food photography of Hibachi Steak Bowl. The dish contains only these ingredients: Top Sirloin Steak (Raw, Trimmed), Large Eggs, brown rice, Frozen Peas, Frozen Carrots, Yellow Onion. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m52,main,"Italian Herb Chicken, Rice & Broccoli","grilled chicken, brown rice, Broccoli (Florets), roasted garlic, Cherry Tomatoes, lemon wedge, Fresh Parsley",recipes/m52.jpg,"Professional food photography of Italian Herb Chicken, Rice & Broccoli. The dish contains only these ingredients: grilled chicken, brown rice, Broccoli (Florets), roasted garlic, Cherry Tomatoes, lemon wedge. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m53,main,"Italian Herb Chicken, Sweet Potato & Broccoli","grilled chicken, Sweet Potato, Broccoli (Florets), roasted garlic, Cherry Tomatoes, lemon wedge",recipes/m53.jpg,"Professional food photography of Italian Herb Chicken, Sweet Potato & Broccoli. The dish contains only these ingredients: grilled chicken, Sweet Potato, Broccoli (Florets), roasted garlic, Cherry Tomatoes, lemon wedge. 45-degree close-up angle on a clean light wood surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m54,main,Lean Beef Bowl with Rice & Vegetables,"ground beef, brown rice, Broccoli (Florets), cottage cheese, roasted garlic, Baby Spinach, Cherry Tomatoes",recipes/m54.jpg,"Professional food photography of Lean Beef Bowl with Rice & Vegetables. The dish contains only these ingredients: ground beef, brown rice, Broccoli (Florets), cottage cheese, roasted garlic, Baby Spinach. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m55,main,Lean Beef Bowl with Sweet Potato & Vegetables,"ground beef, Sweet Potato, Broccoli (Florets), cottage cheese, roasted garlic, Baby Spinach, Cherry Tomatoes",recipes/m55.jpg,"Professional food photography of Lean Beef Bowl with Sweet Potato & Vegetables. The dish contains only these ingredients: ground beef, Sweet Potato, Broccoli (Florets), cottage cheese, roasted garlic, Baby Spinach. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m56,main,Herb Chicken Bowl with Rice & Vegetables,"grilled chicken, brown rice, Broccoli (Florets), cottage cheese, Baby Spinach, Cherry Tomatoes",recipes/m56.jpg,"Professional food photography of Herb Chicken Bowl with Rice & Vegetables. The dish contains only these ingredients: grilled chicken, brown rice, Broccoli (Florets), cottage cheese, Baby Spinach, Cherry Tomatoes. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m57,main,Herb Chicken Bowl with Sweet Potato & Vegetables,"grilled chicken, Sweet Potato, Broccoli (Florets), cottage cheese, Baby Spinach, Cherry Tomatoes",recipes/m57.jpg,"Professional food photography of Herb Chicken Bowl with Sweet Potato & Vegetables. The dish contains only these ingredients: grilled chicken, Sweet Potato, Broccoli (Florets), cottage cheese, Baby Spinach, Cherry Tomatoes. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m58,main,"️ Lean Beef Chili with Sweet Potato, Spinach & Corn","ground beef, Sweet Potato, Baby Spinach, Corn / Sweetcorn, Passata (Tomato Sauce), roasted garlic",recipes/m58.jpg,"Professional food photography of ️ Lean Beef Chili with Sweet Potato, Spinach & Corn. The dish contains only these ingredients: ground beef, Sweet Potato, Baby Spinach, Corn / Sweetcorn, Passata (Tomato Sauce), roasted garlic. 45-degree close-up angle on a clean light wood surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m59,main,"Beef, Cottage Cheese & Sweet Potato Bowl","seasoned ground beef, cottage cheese, Sweet Potato, roasted garlic, Cherry Tomatoes, Red Onion, Fresh Parsley",recipes/m59.jpg,"Professional food photography of Beef, Cottage Cheese & Sweet Potato Bowl. The dish contains only these ingredients: seasoned ground beef, cottage cheese, Sweet Potato, roasted garlic, Cherry Tomatoes, Red Onion. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m60,main,"Chicken, Quinoa & Zucchini Bowl","grilled chicken, Quinoa, Zucchini / Courgette, roasted garlic, lemon wedge, Cherry Tomatoes, Chili Flakes",recipes/m60.jpg,"Professional food photography of Chicken, Quinoa & Zucchini Bowl. The dish contains only these ingredients: grilled chicken, Quinoa, Zucchini / Courgette, roasted garlic, lemon wedge, Cherry Tomatoes. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m61,main,"Ground Beef, Eggs & Brown Rice Bowl","seasoned ground beef, Eggs (Whole, Large), brown rice, roasted garlic, Spring Onion / Scallion",recipes/m61.jpg,"Professional food photography of Ground Beef, Eggs & Brown Rice Bowl. The dish contains only these ingredients: seasoned ground beef, Eggs (Whole, Large), brown rice, roasted garlic, Spring Onion / Scallion. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m62,main,"Salmon, Avocado & Spinach Bowl","Salmon (Atlantic, Raw), Avocado, Baby Spinach, lemon wedge, roasted garlic, Capers (In Brine, Drained), Cucumber, Fresh Dill",recipes/m62.jpg,"Professional food photography of Salmon, Avocado & Spinach Bowl. The dish contains only these ingredients: Salmon (Atlantic, Raw), Avocado, Baby Spinach, lemon wedge, roasted garlic, Capers (In Brine, Drained). Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m25,main,High-Protein KFC Mac & Cheese,"grilled chicken, Large Eggs, Macaroni Pasta, Fat-Free Evaporated Milk, Light Cream Cheese, Grated Cheddar, Broccoli Florets, Baby Spinach",recipes/m25.jpg,"Professional food photography of High-Protein KFC Mac & Cheese. The dish contains only these ingredients: grilled chicken, Large Eggs, Macaroni Pasta, Fat-Free Evaporated Milk, Light Cream Cheese, Grated Cheddar. 45-degree close-up angle in a white ceramic pasta bowl, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m06,main,Honey Chipotle Chicken Bowl,"grilled chicken, brown rice, cottage cheese, Président Light Mozzarella, Parmesan, Baladna Skimmed Milk, Tomato Sauce, Raw Honey, roasted garlic, Black Beans (Canned, Drained), Baby Spinach",recipes/m06.jpg,"Professional food photography of Honey Chipotle Chicken Bowl. The dish contains only these ingredients: grilled chicken, brown rice, cottage cheese, Président Light Mozzarella, Parmesan, Baladna Skimmed Milk. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m16,main,Honey Chipotle Chicken Burritos,"grilled chicken, Fat-Free Mozzarella, cottage cheese, brown rice, High-Fiber Tortilla Wraps (110 Cal), Raw Honey, Tomato Sauce, Fat-Free Milk, roasted garlic, Baby Spinach",recipes/m16.jpg,"Professional food photography of Honey Chipotle Chicken Burritos. The dish contains only these ingredients: grilled chicken, Fat-Free Mozzarella, cottage cheese, brown rice, High-Fiber Tortilla Wraps (110 Cal), Raw Honey. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
hol8,main,Honey-Glazed Chicken & Strawberry Spinach Quinoa,"grilled chicken, Quinoa, Baby Spinach, Strawberries (Hulled, Halved), Sliced Almonds, greek yogurt, Honey, roasted garlic",recipes/hol8.jpg,"Professional food photography of Honey-Glazed Chicken & Strawberry Spinach Quinoa. The dish contains only these ingredients: grilled chicken, Quinoa, Baby Spinach, Strawberries (Hulled, Halved), Sliced Almonds, greek yogurt. 45-degree close-up angle on a clean light wood surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m22,main,Hot Honey Beef & Sweet Potato Bowls,"seasoned ground beef, Sweet Potatoes, Brussels Sprouts (Quartered), Honey, roasted garlic",recipes/m22.jpg,"Professional food photography of Hot Honey Beef & Sweet Potato Bowls. The dish contains only these ingredients: seasoned ground beef, Sweet Potatoes, Brussels Sprouts (Quartered), Honey, roasted garlic. Overhead flat-lay shot on a clean white marble surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
m20,main,Juicy Garlic Lemon Chicken,"grilled chicken, greek yogurt, lemon wedge, roasted garlic",recipes/m20.jpg,"Professional food photography of Juicy Garlic Lemon Chicken. The dish contains only these ingredients: grilled chicken, greek yogurt, lemon wedge, roasted garlic. 45-degree close-up angle on a clean light wood surface, natural soft window light from the left, shallow depth of field, freshly plated and garnished, vibrant appetising colours, food stylist finish, no extra ingredients not listed, square 1:1 format 800x800px, no text no watermarks"
